week,date,date_end,title,deadline,content,assignment,note
1,8/23/23,,Introduction,,content/01-intro,,
1,8/25/23,,Introduction,,,,
2,8/28/23,,Approaches to the Study of Politics,,content/02-approaches,,
2,8/30/23,,Approaches (cont.),,,,
2,9/1/23,,Installing R (optional),,,resource/r,
3,9/4/23,,NO CLASS. Labor Day Holiday.,,,,
3,9/6/23,,R 101,,content/03-R101,,
3,9/8/23,,R 101,,,,
4,9/11/23,,How Experiments Work/Problem Set 1 Due,,content/04-experiments,assignment/pset1,
4,9/13/23,,Experiments (cont.),,,,
4,9/15/23,,Problem Set 2 Due,,,assignment/pset2,
5,9/18/23,,Working with Survey Data,,content/05-survey,,
5,9/20/23,,Survey Data (cont.),,,,
5,9/22/23,,Problem Set 3 Due,,,assignment/pset3,
6,9/25/23,,Survey Data (cont.),,,,
6,9/27/23,,Survey Data (cont.),,,,
6,9/29/23,,Problem Set 4 Due,,,assignment/pset4,
7,10/2/23,,Midterm Review,,,,
7,10/4/23,,Midterm Exam,,,,
7,10/6/23,,Midterm Exam,,,assignment/midterm,
8,10/9/23,,NO CLASS. Fall Break.,,,,
8,10/11/23,,Overview,,,,
8,10/13/23,,Let's Make Predictions,,content/06-linear-regression,,
9,10/16/23,,Linear Regression (cont.),,,,
9,10/18/23,,Linear Regression (cont.),,,,
9,10/20/23,,Problem Set 5 Due,,,assignment/pset5,
10,10/23/23,,Observational Studies: Dealing with a Messy World,,content/07-observational-studies,,
10,10/25/23,,Observational Studies (cont.),,,,
10,10/27/23,,Problem Set 6 Due,,,assignment/pset6,
11,10/30/23,,Observational Studies (cont.),,,,
11,11/1/23,,That's Probable,,content/08-probability,,
11,11/3/23,,Problem Set 7 Due,,,assignment/pset7,
12,11/6/23,,Probability (cont.),,,,
12,11/8/23,,Probability (cont.),,,,
12,11/10/23,,Problem Set 8 Due,,,assignment/pset8,
13,11/13/23,,How Certain Are We?,,content/09-uncertainty,,
13,11/15/23,,Uncertainty (cont.),,,,
13,11/17/23,,Uncertainty (cont.),,,,
14,11/20/23,,NO CLASS. Problem Set 9 Due,,,assignment/pset9,
14,11/22/23,11/26/23,Thanksgiving Break,,,,
15,11/27/23,,Uncertainty (cont.),,,,
15,11/29/23,,Uncertainty (cont.),,,,
15,12/1/23,,Extra Credit Problem Set Due,,,assignment/pset-extra,
16,12/4/23,,Last day,,,,
17,12/8/23,12/13/23,Final exam,,,assignment/final,
